cells,samples,cell.types,treatment.group,Cohort,no.of.genes,no.of.reads,genes_detected_counts,n_counts
cy75_1B_CD45pos_S45,Mel75,T.CD8,post.treatment,New,4609,544089,4448,8551.961731231231
cy129PB_CD45pos_S226,Mel129pb,T.CD8,treatment.naive,New,4874,1984444,4709,6671.099607881989
cy79_p5_CD45_pos_PD1_pos_D04_S616_comb,Mel79,T.CD8,treatment.naive,Tirosh,3238,78196,3025,9147.732657391458
cy129PB_CD45pos_S237,Mel129pb,T.CD8,treatment.naive,New,4073,201075,3856,9519.814630914549
cy60_1_cd_45_pos_3_H04_S376_comb,Mel60,T.CD8,post.treatment,Tirosh,2797,76528,2589,8803.01793499804
cy129PA_CD45neg_CD90neg_S132,Mel129pa,CAF,treatment.naive,New,2412,69537,2220,4771.443018476946
cy80_Cd45_pos_PD1_pos_B06_S42_comb,Mel80,T.cell,treatment.naive,Tirosh,4696,168935,4456,11489.344667352712
cy82_CD45_pos_1_C04_S508_comb,Mel82,T.CD8,treatment.naive,Tirosh,2566,139891,2338,5949.145829384617
cy75_1CORE_CD45pos_S61,Mel75,T.cell,post.treatment,New,4047,265380,3865,8336.375831118794
cy106_CD45neg_S291,Mel106,?,post.treatment,New,2256,8286,2100,9633.46451739666
cy98_CD45pos_1_S226,Mel98,T.CD4,post.treatment,New,4951,1489322,4806,8779.797339832798
MGH00478_CD45pos_2_S354,Mel478,B.cell,treatment.naive,New,3689,538258,3486,7107.187034783568
CY89A_CD45_POS_10_H07_S283_comb,Mel89,T.CD4,treatment.naive,Tirosh,3302,56379,3120,9633.294969333621
cy84_Primary_CD45_pos_H08_S476_comb,Mel84,B.cell,treatment.naive,Tirosh,5846,370552,5637,13346.185937086037
cy72_CD45_pos_H08_S956_comb,Mel72,NK,post.treatment,Tirosh,5014,123362,4805,13089.624964948925
cy112_CD45pos_S330,Mel112,T.CD8,treatment.naive,New,5200,1862045,5068,9204.028972960537
CY89A_CD45_POS_10_E06_S246_comb,Mel89,Macrophage,treatment.naive,Tirosh,8263,99084,8045,15515.932744770049
cy04.3_CD45pos_S14,Mel04.3,T.CD8,post.treatment,New,4417,671184,4260,7165.70013214913
monika_E10_S135_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,5231,1088678,5099,8872.669513767014
cy88_cd_45_pos_F03_S447_comb,Mel88,T.CD8,post.treatment,Tirosh,3441,109482,3227,9869.516687820098
cy105_Zombineg_CD45neg_CD90neg_S183,Mel105,?,treatment.naive,New,2298,417261,2103,4344.013264009498
Merck_CD45pos_pl4_S79,Mel194,T.CD8,post.treatment,New,4410,561004,4282,9501.193983689278
cy105_CD45pos_calceinpos_S41,Mel105,B.cell,treatment.naive,New,4026,529713,3848,7283.858355183342
CY88CD45POS_7_F09_S261_comb,Mel88,Macrophage,post.treatment,Tirosh,3767,141452,3578,9362.762425120221
CY88CD45POS_2_G08_S464_comb,Mel88,Macrophage,post.treatment,Tirosh,4789,834434,4582,8331.976764676429
cy80_CD45_neg_F12_S456_comb,Mel80,?,treatment.naive,Tirosh,10712,253746,10548,17987.591097462293
cy80_CD45_neg_C06_S894_comb,Mel80,Endo.,treatment.naive,Tirosh,4699,29797,4595,14646.113379306504
Merck_CD45pos_pl4_S29,Mel194,T.CD4,post.treatment,New,4285,614483,4122,8769.374211748574
cy80_CD45_pos_PD1_pos_H10_S190_comb,Mel80,B.cell,treatment.naive,Tirosh,2626,31662,2460,8640.72453497069
CY89A_Core_15_D04_S40_comb,Mel89,B.cell,treatment.naive,Tirosh,3652,132685,3428,8703.201036327566
cy103_CD45pos_S97,Mel103,T.cell,treatment.naive,New,9391,623846,9243,15765.668624583077
CY75_1_CD45_CD8_7__S266_comb_BCD8,Mel75,T.cell,post.treatment,Tirosh,6285,475474,6177,13647.072838703923
cy112_CD45pos_S69,Mel112,T.CD8,treatment.naive,New,4489,1330330,4362,7516.783037416797
Merck_CD45pos_pl4_S82,Mel194,T.CD8,post.treatment,New,4819,964259,4691,9465.770286757841
cy80_CD45_neg_C05_S413_comb,Mel80,T.CD8,treatment.naive,Tirosh,2590,22936,2491,9910.93544181412
cy105_Zombineg_CD45neg_CD90neg_S122,Mel105,?,treatment.naive,New,2051,183821,1883,5438.901554156178
cy75_1B_CORE_CD45neg_S130,Mel75,CAF,post.treatment,New,7603,1605303,7471,13927.085893233816
cy129PB_CD45pos_S276,Mel129pb,?,treatment.naive,New,3984,149353,3836,9445.56790544778
cy106_CD45pos_S379,Mel106,B.cell,post.treatment,New,3874,560557,3703,6968.7032585831585
Merck_CD45pos_pl4_S85,Mel194,T.CD8,post.treatment,New,4976,937563,4839,10420.522877947815
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G07_S1039_comb,Mel60,B.cell,post.treatment,Tirosh,2882,112303,2689,8086.7019824610525
cy79_p4_CD45_pos_PD1_pos_D10_S334_comb,Mel79,T.CD8,treatment.naive,Tirosh,2924,110598,2715,8532.276119275673
cy84_Met_CD45_pos_F10_S934_comb,Mel84,T.CD8,treatment.naive,Tirosh,2373,62698,2224,8069.214855294773
cy75_1CORE_CD45pos_S71,Mel75,T.CD8,post.treatment,New,4398,288680,4212,9537.702704734736
merck_cd45pos_PL3_S359,Mel194,T.CD8,post.treatment,New,4663,951544,4513,9441.913957854951
MGH00478_CD45pos_1_S276,Mel478,T.CD8,treatment.naive,New,4164,525497,3967,7875.37041040387
cy102_CD45pos_S126,Mel102,Macrophage,post.treatment,New,4274,938679,4078,7477.282409484002
cy79_p3_CD45_pos_PD1_neg_F01_S157_comb,Mel79,B.cell,treatment.naive,Tirosh,3695,165647,3477,8190.063175638346
cy102_CD45pos_S271,Mel102,Macrophage,post.treatment,New,6613,843350,6427,13082.24773782713
CY84_PRIM_POS_ALL_7_F12_S264_comb,Mel84,Macrophage,treatment.naive,Tirosh,3337,321498,3121,7405.252574669553
CY58_1_CD45_G02_S1034_comb,Mel58,T.cell,post.treatment,Tirosh,2407,58062,2221,7283.024337686986
cy79_p5_CD45_pos_PD1_pos_G10_S658_comb,Mel79,T.CD8,treatment.naive,Tirosh,2865,52121,2683,9019.731788196932
cy82_CD45_pos_2_D04_S520_comb,Mel82,T.CD4,treatment.naive,Tirosh,4199,271286,3948,8948.931906065412
cy110_CD45pos_S373,Mel110,B.cell,post.treatment,New,2278,31709,2136,7015.4887481217
cy128_CD45pos_S117,Mel128,T.CD8,treatment.naive,New,4247,762459,4076,7305.3397735502695
cy80_CD45_neg_C08_S896_comb,Mel80,?,treatment.naive,Tirosh,3444,68616,3268,10293.805797659134
monika_E6_S140_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4687,630024,4541,8646.028575059365
CY89A_Core_15_A06_S6_comb,Mel89,T.CD8,treatment.naive,Tirosh,3058,54883,2887,9984.359077750472
cy105_Zombineg_CD45neg_CD90neg_S143,Mel105,Endo.,treatment.naive,New,6150,1022560,5943,12867.673305972108
Cy72_CD45_G11_S755_comb,Mel72,B.cell,post.treatment,Tirosh,4020,219212,3819,10183.18325750569
cy80_CD45_neg_A03_S387_comb,Mel80,T.CD8,treatment.naive,Tirosh,3071,117544,2826,8602.642238883755
CY89A_Core_15_D10_S46_comb,Mel89,T.CD8,treatment.naive,Tirosh,3890,154311,3660,9530.702312126836
cy126_CD45pos_1_S3,Mel126,T.CD4,post.treatment,New,3669,474318,3473,6650.498869777828
CY58_1_CD45_F06_S1026_comb,Mel58,T.CD4,post.treatment,Tirosh,4017,221300,3799,10658.446926856348
cy80_CD45_pos_PD1_pos_B04_S112_comb,Mel80,T.cell,treatment.naive,Tirosh,3838,83551,3651,11172.311322558307
CY75_1_CD45_CD8_3__S163_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4466,305561,4270,10830.054440196236
CY89A_Core_15_H03_S87_comb,Mel89,T.CD8,treatment.naive,Tirosh,3757,155393,3521,9436.191532830882
cy94_cd45pos_A04_S100_comb,Mel94,T.CD4,post.treatment,Tirosh,4081,269181,3861,8993.041532660027
cy74_CD45_pos_D01_S709_comb,Mel74,T.CD8,post.treatment,Tirosh,3688,156303,3480,9668.765699086347
cy129PA_CD45pos_S14,Mel129pa,Macrophage,treatment.naive,New,3254,1136675,3171,8548.942009524646
cy116_CD45pos_S329,Mel116,T.cell,treatment.naive,New,3544,309262,3365,6497.927107319105
merck_cd45pos_PL3_S313,Mel194,T.CD8,post.treatment,New,4746,758349,4599,9728.488793287881
cy105_CD45pos_S247,Mel105,B.cell,treatment.naive,New,4464,1077525,4313,7253.778683138428
cy82_CD45_pos_1_E08_S536_comb,Mel82,T.CD4,treatment.naive,Tirosh,5880,381769,5675,11964.847848342177
cy98_CD45pos_1_S215,Mel98,T.CD4,post.treatment,New,4688,1127492,4510,8778.85257367708
cy84_Primary_CD45_pos_A11_S395_comb,Mel84,B.cell,treatment.naive,Tirosh,4043,149099,3796,10308.592538604284
CY89FNAQ2_A06_S390_comb,Mel89,?,treatment.naive,Tirosh,6610,74363,6402,17297.31861368741
cy129PB_CD45pos_S288,Mel129pb,?,treatment.naive,New,4374,156867,4251,12019.891258190957
CY75_1_CD45_CD8_3__S126_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3611,137795,3417,9580.151260137773
Cy72_CD45_D08_S716_comb,Mel72,?,post.treatment,Tirosh,2940,163586,2722,6396.950236373505
CY89A_CD45_POS_6_D06_S138_comb,Mel89,T.cell,treatment.naive,Tirosh,3550,155461,3316,7103.2629411309
cy110_CD45pos_S336,Mel110,Macrophage,post.treatment,New,7781,1756730,7631,13007.187815103262
cy102_CD45pos_S204,Mel102,Macrophage,post.treatment,New,6893,382462,6676,13702.334709315097
cy94_cd45neg_cd90pos_G06_S366_comb,Mel94,T.CD4,post.treatment,Tirosh,5030,360318,4855,9454.70651044874
cy94_cd45pos_D07_S139_comb,Mel94,B.cell,post.treatment,Tirosh,5279,158644,5049,11595.395677038166
Cy72_CD45_E02_S722_comb,Mel72,?,post.treatment,Tirosh,2939,189042,2719,6795.205418650633
Cy81_FNA_CD45_A02_S194_comb,Mel81,T.CD4,treatment.naive,Tirosh,3888,466860,3702,7643.296406709739
cy60_1_cd_45_pos_4_C01_S25_comb,Mel60,T.CD8,post.treatment,Tirosh,3904,57889,3694,12505.949285917342
cy72_CD45_pos_H12_S960_comb,Mel72,B.cell,post.treatment,Tirosh,5648,23365,5433,15901.307902010303
Cy81_FNA_CD45_H09_S285_comb,Mel81,T.cell,treatment.naive,Tirosh,2837,189523,2639,5811.310177632417
cy98_CD45pos_2_S359,Mel98,T.cell,post.treatment,New,3492,300183,3288,6852.196809098543
Cy72_CD45_F12_S744_comb,Mel72,T.cell,post.treatment,Tirosh,3030,174671,2827,6832.929844048248
cy04.3_CD45pos_S74,Mel04.3,T.CD4,post.treatment,New,4063,709609,3897,7276.3102946982635
cy116_CD45pos_S336,Mel116,B.cell,treatment.naive,New,4209,504271,3980,6763.865886540542
cy98_CD45pos_1_S204,Mel98,T.CD4,post.treatment,New,4662,1030421,4494,8516.28142184026
cy79_p4_CD45_pos_PD1_pos_H10_S382_comb,Mel79,T.CD8,treatment.naive,Tirosh,2669,95593,2458,7131.061715365668
CY88CD45POS_7_G04_S268_comb,Mel88,Macrophage,post.treatment,Tirosh,8207,1786183,8059,13705.429229455116
CY84_PRIM_POS_ALL_7_C02_S218_comb,Mel84,?,treatment.naive,Tirosh,2090,64704,1896,5980.286443896372
cy128_CD45pos_S172,Mel128,B.cell,treatment.naive,New,4124,959944,3972,6752.095853251858
cy75_1CORE_CD45pos_S80,Mel75,T.CD8,post.treatment,New,4016,215292,3791,8430.976437095473
cy129PB_CD45pos_S265,Mel129pb,T.CD4,treatment.naive,New,3334,333591,3143,5825.482974252924
CY75_1_CD45_CD8_3__S107_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5197,433571,5013,11712.716905504793
cy103_CD45pos_S214,Mel103,Macrophage,treatment.naive,New,5814,1070199,5637,10529.902047223335
CY88CD45POS_7_B09_S213_comb,Mel88,T.CD4,post.treatment,Tirosh,6863,672764,6729,14635.423292829579
cy116_CD45pos_S293,Mel116,T.CD4,treatment.naive,New,3691,325417,3477,6652.281758057171
cy74_CD45_pos_G09_S753_comb,Mel74,T.CD4,post.treatment,Tirosh,5001,128605,4831,13142.403511421802
cy129PB_CD45pos_S281,Mel129pb,NK,treatment.naive,New,3238,35201,3012,10273.825585691635
cy80_CD45_neg_A12_S396_comb,Mel80,T.CD8,treatment.naive,Tirosh,2685,56059,2495,8777.867482869635
cy110_CD45pos_S375,Mel110,Macrophage,post.treatment,New,5924,1437819,5743,11012.853945379666
cy74_CD45_pos_B09_S693_comb,Mel74,T.CD8,post.treatment,Tirosh,2257,40509,2063,7448.600431767224
cy112_CD45pos_S57,Mel112,B.cell,treatment.naive,New,4757,1139542,4628,7638.549616291435
CY89A_Core_15_A09_S9_comb,Mel89,B.cell,treatment.naive,Tirosh,2865,54585,2654,8680.31026697184
CY89COREQ1_H09_S381_comb,Mel89,T.cell,treatment.naive,Tirosh,2339,23269,2183,8550.30331127036
CY88CD45_150813_D03_S327_comb,Mel88,Macrophage,post.treatment,Tirosh,6556,804038,6369,10588.433269792145
cy58_1_CD45_pos_H02_S662_comb,Mel58,T.cell,post.treatment,Tirosh,3670,105752,3456,8666.923351810517
cy110_CD45pos_S381,Mel110,Macrophage,post.treatment,New,6156,844932,5963,11410.971435837124
CY58_1_CD45_F05_S1025_comb,Mel58,T.CD8,post.treatment,Tirosh,2035,23361,1849,7629.0928118329075
cy80_CD45_pos_PD1_pos_C01_S121_comb,Mel80,T.cell,treatment.naive,Tirosh,3637,105182,3405,9861.98132354494
cy79_p4_CD45_neg_PDL1_neg_F01_S1117_comb,Mel79,T.CD8,treatment.naive,Tirosh,5840,190520,5605,10864.789182832128
cy129PA_CD45pos_S44,Mel129pa,T.CD8,treatment.naive,New,4246,597875,4030,8854.6978748722
cy98_CD45pos_1_S197,Mel98,T.CD8,post.treatment,New,4398,829698,4231,8108.277303079223
cy129PB_CD45pos_S264,Mel129pb,B.cell,treatment.naive,New,4938,1909584,4816,7330.277554999893
cy94_cd45pos_A11_S107_comb,Mel94,T.cell,post.treatment,Tirosh,4603,553573,4429,9032.880849135418
Cy72_CD45_H06_S762_comb,Mel72,T.cell,post.treatment,Tirosh,2898,115738,2686,7571.314470277033
cy79_p3_CD45_pos_PD1_neg_C06_S126_comb,Mel79,B.cell,treatment.naive,Tirosh,2051,14803,1931,7557.359435696224
cy126_CD45pos_1_S16,Mel126,T.CD8,post.treatment,New,3829,345003,3607,8517.44643188077
cy75_1CORE_CD45pos_S59,Mel75,T.CD8,post.treatment,New,4876,452955,4692,9697.883962580672
cy80_Cd45_pos_PD1_pos_S139_F07_S139_comb,Mel80,T.CD4,treatment.naive,Tirosh,5371,172389,5155,13385.780412534805
CY75_1_CD45_CD8_8__S299_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4599,227790,4414,11075.499702867102
cy60_1_cd_45_pos_3_A04_S292_comb,Mel60,B.cell,post.treatment,Tirosh,2679,60741,2494,8505.671702214577
CY89A_Core_15_B06_S18_comb,Mel89,T.CD8,treatment.naive,Tirosh,3739,134561,3520,9472.819318767153
cy60_1_cd_45_pos_4_C09_S33_comb,Mel60,B.cell,post.treatment,Tirosh,2778,45036,2564,8907.842171202401
cy60_1_cd_45_pos_3_G02_S362_comb,Mel60,B.cell,post.treatment,Tirosh,3247,102803,3017,8578.478680370596
CY88CD45_150813_F07_S355_comb,Mel88,Macrophage,post.treatment,Tirosh,5803,775813,5591,12185.469233597069
Cy71_CD45_F12_S552_comb,Mel71,T.CD8,treatment.naive,Tirosh,2560,85473,2371,7387.52176246973
cy60_1_cd_45_pos_3_H07_S379_comb,Mel60,B.cell,post.treatment,Tirosh,3260,94389,3061,9438.04293763141
CY94CD45POS_1_C08_S128_comb,Mel94,T.CD4,post.treatment,Tirosh,9025,980018,8865,17998.105335184824
cy88_cd_45_pos_G09_S465_comb,Mel88,Macrophage,post.treatment,Tirosh,4963,136615,4827,13429.152265375313
cy60_1_cd_45_pos_4_B07_S19_comb,Mel60,T.CD8,post.treatment,Tirosh,3061,78510,2848,9738.09726848943
CY89A_CD45_POS_10_E12_S252_comb,Mel89,T.CD4,treatment.naive,Tirosh,4669,79314,4453,13084.673488803342
cy72_CD45_pos_D10_S910_comb,Mel72,T.CD4,post.treatment,Tirosh,2525,36119,2361,8062.406685632699
cy94_cd45pos_B12_S120_comb,Mel94,B.cell,post.treatment,Tirosh,4041,354238,3843,7296.05632914823
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G03_S459_comb,Mel79,T.CD8,treatment.naive,Tirosh,2356,22556,2214,8704.646117408894
cy105_Zombineg_CD45neg_CD90neg_S182,Mel105,?,treatment.naive,New,2511,318177,2320,4300.185617633917
CY75_1_CD45_CD8_1__S94_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3719,182936,3525,10051.273539736289
Merck_CD45pos_pl4_S48,Mel194,T.CD8,post.treatment,New,4448,703715,4298,8564.065101809043
cy75_1B_CD45pos_S88,Mel75,T.cell,post.treatment,New,4083,313121,3900,8009.746529045104
MGH00478_CD45pos_2_S358,Mel478,B.cell,treatment.naive,New,3126,408741,2929,5730.952093962785
merck_cd45pos_PL3_S308,Mel194,T.CD8,post.treatment,New,4489,830646,4328,7988.967781997286
Merck_CD45pos_pl4_S41,Mel194,T.CD8,post.treatment,New,5104,877505,4966,10763.773113978194
cy94_cd45neg_cd90pos_E11_S347_comb,Mel94,Endo.,post.treatment,Tirosh,7644,449391,7486,14520.571714438378
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C04_S988_comb,Mel60,B.cell,post.treatment,Tirosh,2931,56664,2732,9391.298501014513
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D03_S519_comb,Mel79,B.cell,treatment.naive,Tirosh,2401,16391,2268,8886.122199406882
cy94_cd45neg_cd90pos_C03_S315_comb,Mel94,T.CD4,post.treatment,Tirosh,3881,283815,3637,7963.027693279477
cy72_CD45_pos_D12_S912_comb,Mel72,B.cell,post.treatment,Tirosh,3615,69056,3402,9730.677876454696
cy80_Cd45_pos_Pd1_neg_S271_D07_S271_comb,Mel80,B.cell,treatment.naive,Tirosh,3750,76289,3525,10369.497030247541
CY58_1_CD45_A08_S968_comb,Mel58,T.CD4,post.treatment,Tirosh,3588,226131,3385,8752.97307381353
cy53_1_CD45_pos_1_A05_S5_comb,Mel53,Macrophage,treatment.naive,Tirosh,6227,634542,6025,11518.86920661144
cy102_CD45pos_S239,Mel102,T.CD4,post.treatment,New,4302,285102,4100,9608.826352210399
cy79_p5_CD45_pos_PD1_pos_G08_S656_comb,Mel79,T.CD8,treatment.naive,Tirosh,3585,112731,3415,9886.094941242141
MGH00478_CD45pos_1_S206,Mel478,T.CD4,treatment.naive,New,4476,584036,4320,9134.687771056142
cy79_p5_CD45_pos_PD1_pos_H08_S668_comb,Mel79,T.CD8,treatment.naive,Tirosh,3810,135908,3592,9606.082179044715
Cy81_Bulk_CD45_C12_S132_comb,Mel81,?,treatment.naive,Tirosh,3200,172021,2994,6404.380580521949
cy79_p4_CD45_pos_PD1_pos_H05_S377_comb,Mel79,T.cell,treatment.naive,Tirosh,4390,187740,4158,10975.941804469012
cy79_p4_CD45_pos_PD1_pos_C04_S316_comb,Mel79,T.CD8,treatment.naive,Tirosh,3909,131753,3682,10067.264853838346
merck_cd45pos_PL3_S326,Mel194,T.CD4,post.treatment,New,4687,637171,4538,10395.611183438205
CY75_1_CD45_CD8_3__S182_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3803,186360,3610,9566.68437874881
cy82_CD45_pos_2_F11_S551_comb,Mel82,?,treatment.naive,Tirosh,10013,339173,9863,19710.66573348827
monika_E8_S142_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4579,590339,4395,8038.64533197087
cy106_CD45pos_S199,Mel106,T.cell,post.treatment,New,3827,630328,3604,5439.79606300508
cy80_Cd45_pos_PD1_pos_C04_S64_comb,Mel80,T.CD4,treatment.naive,Tirosh,5647,205178,5423,13594.040302472737
CY75_1_CD45_CD8_7__S199_comb_BCD8,Mel75,T.CD4,post.treatment,Tirosh,4083,256131,3890,9186.079302041344
cy80_Cd45_pos_PD1_pos_S181_H01_S181_comb,Mel80,T.cell,treatment.naive,Tirosh,4371,66969,4154,12507.921976456275
cy94_cd45pos_C09_S129_comb,Mel94,B.cell,post.treatment,Tirosh,4239,366289,4063,8237.348221682661
Merck_CD45pos_pl4_S33,Mel194,T.CD8,post.treatment,New,5039,944146,4904,10554.02439317159
cy53_1_CD45_pos_1_H10_S94_comb,Mel53,T.CD4,treatment.naive,Tirosh,4435,173154,4231,9959.522289764758
CY75_1_CD45_CD8_3__S162_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4341,117930,4128,10531.211431457696
cy126_CD45pos_2_S187,Mel126,T.CD8,post.treatment,New,4098,497731,3928,8187.269403462727
cy110_CD45pos_S274,Mel110,Macrophage,post.treatment,New,6723,1074499,6554,12512.496842754528
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F03_S1023_comb,Mel60,B.cell,post.treatment,Tirosh,2205,44684,2028,7490.344445800249
cy75_1B_CD45pos_S28,Mel75,T.CD8,post.treatment,New,4240,454648,4057,7715.194633319643
cy106_CD45pos_S194,Mel106,B.cell,post.treatment,New,3946,934650,3771,6095.87070790806
cy103_CD45pos_S280,Mel103,T.CD4,treatment.naive,New,4491,233981,4290,10622.868467123853
CY89A_CD45_POS_10_G11_S275_comb,Mel89,T.CD8,treatment.naive,Tirosh,3229,68323,3018,9189.284645996528
cy105_CD45pos_S231,Mel105,B.cell,treatment.naive,New,4104,601768,3938,7537.500373207401
cy102_CD45pos_S158,Mel102,T.CD4,post.treatment,New,6004,1204833,5843,12500.35167614184
CY89A_Core_15_E11_S59_comb,Mel89,B.cell,treatment.naive,Tirosh,2430,50956,2264,7283.099355281488
cy74_CD45_pos_D12_S720_comb,Mel74,T.CD8,post.treatment,Tirosh,2025,22025,1902,7937.146069664201
cy116_CD45pos_S315,Mel116,T.CD8,treatment.naive,New,4039,388455,3862,7892.29561223107
cy75_1CORE_CD45pos_S34,Mel75,T.CD8,post.treatment,New,4619,445930,4454,8897.898031564291
cy58_1_CD45_pos_H11_S671_comb,Mel58,Macrophage,post.treatment,Tirosh,8319,426163,8151,12122.344585643652
cy80_Cd45_pos_Pd1_neg_S251_C11_S251_comb,Mel80,T.cell,treatment.naive,Tirosh,4246,120617,4016,11138.45946922423
cy106_CD45pos_S213,Mel106,B.cell,post.treatment,New,3965,762168,3809,6014.466476770774
cy102_CD45pos_S209,Mel102,T.CD8,post.treatment,New,5237,503160,5056,10558.01813080605
cy102_CD45pos_S200,Mel102,T.cell,post.treatment,New,4587,305848,4375,9407.803940463331
cy121.1_CD45pos_S301,Mel121.1,T.CD8,post.treatment,New,3518,754624,3339,6651.82586075956
CY75_1_CD45_CD8_8__S378_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4233,372400,4041,9691.539970272052
CY88CD45POS_7_G02_S266_comb,Mel88,T.CD8,post.treatment,Tirosh,5106,323823,4916,11219.446857107594
Cy74_CD45_A08_S392_comb,Mel74,T.CD4,post.treatment,Tirosh,3540,114115,3321,9703.02979074561
CY84_PRIM_POS_ALL_6_G06_S462_comb,Mel84,Macrophage,treatment.naive,Tirosh,3304,141718,3057,8351.393953344033
CY75_1_CD45_CD8_3__S108_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,7283,750902,7118,16188.066866816675
cy53_1_CD45_pos_1_H01_S85_comb,Mel53,T.CD8,treatment.naive,Tirosh,4638,204834,4429,10431.478442784377
cy102_CD45pos_S162,Mel102,T.CD4,post.treatment,New,6266,791015,6084,13542.151100469728
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H01_S277_comb,Mel79,T.CD8,treatment.naive,Tirosh,3670,23890,3449,10525.330056746103
CY88CD45_150813_H07_S379_comb,Mel88,Macrophage,post.treatment,Tirosh,5429,1223442,5212,10615.792849427135
cy121.1_CD45pos_S329,Mel121.1,T.cell,post.treatment,New,4364,649426,4206,7629.678381880083
Cy81_FNA_CD45_D02_S230_comb,Mel81,T.cell,treatment.naive,Tirosh,3530,253098,3343,7298.241616408626
Cy72_CD45_E03_S723_comb,Mel72,T.CD4,post.treatment,Tirosh,3123,143308,2914,7743.0668061529705
Cy72_CD45_C12_S708_comb,Mel72,T.CD8,post.treatment,Tirosh,3560,237272,3398,7628.955601416133
cy112_CD45pos_S92,Mel112,T.CD4,treatment.naive,New,3726,665971,3565,5986.4882104538065
cy80_Cd45_pos_Pd1_neg_S201_A09_S201_comb,Mel80,B.cell,treatment.naive,Tirosh,4103,164185,3866,8837.827555496955
Cy74_CD45_E10_S442_comb,Mel74,?,post.treatment,Tirosh,2648,102158,2446,7207.003081870249
cy116_CD45pos_S327,Mel116,B.cell,treatment.naive,New,3469,233626,3269,6942.730091388861
cy60_1_cd_45_pos_3_G05_S365_comb,Mel60,T.CD4,post.treatment,Tirosh,2937,49385,2709,9069.907780310497
cy105_Zombineg_CD45neg_CD90neg_S147,Mel105,Endo.,treatment.naive,New,7085,1012922,6898,13820.485684264542
CY89COREQ1_H01_S373_comb,Mel89,B.cell,treatment.naive,Tirosh,2573,39749,2358,7837.163627280348
CY58_1_CD45_G03_S1035_comb,Mel58,T.CD8,post.treatment,Tirosh,2630,81618,2403,7679.739623604077
cy129PB_CD45pos_S286,Mel129pb,T.CD8,treatment.naive,New,5374,467333,5197,12232.484316648433
CY84_PRIM_POS_ALL_7_E07_S247_comb,Mel84,NK,treatment.naive,Tirosh,2173,67211,2003,6730.734470628707
cy84_Primary_CD45_pos_C07_S415_comb,Mel84,NK,treatment.naive,Tirosh,4019,145478,3794,11098.496220060239
MGH00478_CD45pos_1_S283,Mel478,T.CD8,treatment.naive,New,3778,421050,3594,7838.098325279523
cy103_CD45pos_S242,Mel103,Macrophage,treatment.naive,New,5219,545098,5051,11164.269441785345
cy80_Cd45_pos_Pd1_neg_S225_B09_S225_comb,Mel80,T.CD4,treatment.naive,Tirosh,3600,65763,3377,10168.968859975263
cy129PB_CD45pos_S211,Mel129pb,T.CD8,treatment.naive,New,4718,1241033,4602,8157.243707806811
cy116_CD45pos_S363,Mel116,T.cell,treatment.naive,New,3959,354133,3780,7934.506005998495
cy82_CD45_pos_2_G03_S555_comb,Mel82,T.cell,treatment.naive,Tirosh,4450,325595,4246,9827.298228202219
CY75_1_CD45_CD8_8__S294_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3451,184600,3271,8793.656366984651
cy110_CD45pos_S263,Mel110,T.CD8,post.treatment,New,4759,664914,4605,7911.967728134323
CY75_1_CD45_CD8_8__S295_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3498,156589,3312,9124.003929724124
